ICAO,IATA,Name,City,Country,Altitude,Latitude,Longitude
KMLB,MLB,MELBOURNE INTERNATIONAL,MELBOURNE,USA,11,28.103,-80.645
KMLC,MLC,MC ALESTER RGNL,MCALESTER,USA,235,34.882,-95.783
KMLT,MLT,MILLINOCKET MUNI,MILLINOCKET,USA,125,45.648,-68.686
KMLU,MLU,MONROE RGNL,MONROE,USA,25,32.511,-92.037
KMMV,MMV,MC MINNVILLE MUNI,MACKMINNVILLE,USA,50,45.194,-123.136
KMNM,MNM,MENOMINEE MARINETTE TWIN CO,MACON,USA,191,45.126,-87.638
KMOB,MOB,MOBILE RGNL,MOBILE,USA,67,30.691,-88.243
KMOD,MOD,MODESTO CITY CO HARRY SHAM,MODESTO,USA,30,37.626,-120.954
KMOT,MOT,MINOT INTERNATIONAL,MINOT,USA,519,48.259,-101.28
KMPV,MPV,EDWARD F KNAPP STATE,MONTPELIER,USA,356,44.203,-72.562
KMQT,MQT,SAWYER INTERNATIONAL,MARQUETTE,USA,433,46.534,-87.562
KMSN,MSN,DANE CO RGNL TRUAX FLD,MADISON,USA,271,43.14,-89.337
KMSP,MSP,MINNEAPOLIS ST PAUL INTERNATIONAL,MINNEAPOLIS,USA,257,44.88,-93.217
KMSS,MSS,MASSENA INTERNATIONAL RICHARDS FLD,MASSENA,USA,66,44.936,-74.845
KMSY,MSY,LOUIS ARMSTRONG NEW ORLEANS INTERNATIONAL,NEW ORLEANS,USA,2,29.993,-90.258
KMTC,MTC,SELFRIDGE ANGB,MOUNT CLEMENS,USA,177,42.613,-82.832
KMUI,MUI,MUIR AAF,MUIR,USA,150,40.435,-76.569
KMUO,MUO,MOUNTAIN HOME AFB,MOUNTAIN HOME,USA,914,43.043,-115.872
KMWH,MWH,GRANT CO INTERNATIONAL,GRANT COUNTY AIRPORT,USA,362,47.208,-119.32
KMWL,MWL,MINERAL WELLS,MINERAL WELLS,USA,297,32.781,-98.06
KMXF,MXF,MAXWELL AFB,MONTGOMERY,USA,53,32.379,-86.362
KMYR,MYR,MYRTLE BEACH INTERNATIONAL,MYRTLE BEACH,USA,8,33.68,-78.928
KNBC,NBC,BEAUFORT MCAS,BEAUFORT,USA,11,32.477,-80.723
KNBG,NBG,NEW ORLEANS NAS JRB,NEW ORLEANS,USA,1,29.825,-90.035
KNCA,NCA,NEW RIVER MCAS,JACKSONVILLE,USA,8,34.708,-77.439
KNEL,NEL,LAKEHURST NAES,LAKEHURST,USA,32,40.033,-74.353
KNFL,NFL,FALLON NAS,FALLON,USA,1200,39.416,-118.701
KNGU,NGU,NORFOLK NS,NORFOLK,USA,5,36.938,-76.289
KNHK,NHK,PATUXENT RIVER NAS,PATUXENT RIVER,USA,12,38.286,-76.412
KNID,NID,CHINA LAKE NAWS,CHINA,USA,696,35.688,-117.691
KNIP,NIP,JACKSONVILLE NAS,JACKSONVILLE,USA,7,30.236,-81.681
KNJK,NJK,EL CENTRO NAF,EL CENTRO,USA,-13,32.829,-115.672
KNKT,NKT,CHERRY POINT MCAS,CHERRY POINT,USA,9,34.902,-76.881
KNKX,NKX,MIRAMAR MCAS,MIRAMAR,USA,146,32.868,-117.143
KNLC,NLC,LEMOORE NAS,LEMOORE,USA,72,36.333,-119.952
KNMM,NMM,MERIDIAN NAS,MERIDIAN,USA,97,32.552,-88.556
KNOW,NOW,PORT ANGELES CGAS,PORT ANGELES,USA,4,48.141,-123.414
KNPA,NPA,PENSACOLA NAS,PENSACOLA,USA,9,30.353,-87.319
KNQA,NQA,MILLINGTON MUNI,MILLINGTON,USA,98,35.357,-89.87
KNQI,NQI,KINGSVILLE NAS,KINGSVILLE,USA,16,27.507,-97.81
KNQX,NQX,KEY WEST NAS,KEY WEST,USA,2,24.576,-81.689
KNSE,NSE,WHITING FLD NAS NORTH,MILTON,USA,61,30.724,-87.022
KNTD,NTD,POINT MUGU NAS,POINT MUGU,USA,4,34.12,-119.121
KNTK,NTK,TUSTIN MCAF,TUSTIN,USA,17,33.706,-117.827
KNTU,NTU,OCEANA NAS,OCEANA,USA,7,36.821,-76.033
KNUQ,NUQ,MOFFETT FEDERAL AFLD,MOUNTAIN VIEW,USA,10,37.415,-122.048
KNUW,NUW,WHIDBEY ISLAND NAS,WHIDBEY ISLAND,USA,15,48.352,-122.656
KNXP,NXP,TWENTYNINE PALMS EAF,TWENTY NINE PALMS,USA,623,34.296,-116.162
KNXX,NXX,WILLOW GROVE NAS JRB,WILLOW GROVE,USA,111,40.2,-75.148
KNYG,NYG,QUANTICO MCAF,QUANTICO,USA,4,38.502,-77.305
KNZC,NZC,CECIL FLD,JACKSONVILLE,USA,25,30.219,-81.876
KNZY,NZY,NORTH ISLAND NAS,SAN DIEGO,USA,8,32.699,-117.215
KOAK,OAK,METROPOLITAN OAKLAND INTERNATIONAL,OAKLAND,USA,2,37.721,-122.221
KOFF,OFF,OFFUTT AFB,OMAHA,USA,321,41.118,-95.913
KOGS,OGS,OGDENSBURG INTERNATIONAL,OGDENSBURG,USA,91,44.682,-75.466
KOKC,OKC,WILL ROGERS WORLD,OKLAHOMA CITY,USA,395,35.393,-97.601
KOLS,OLS,NOGALES INTERNATIONAL,NOGALES,USA,1206,31.418,-110.848
KOMA,OMA,EPPLEY AFLD,OMAHA,USA,300,41.302,-95.894
KONT,ONT,ONTARIO INTERNATIONAL,ONTARIO,USA,288,34.056,-117.601
KOPF,OPF,OPA LOCKA,MIAMI,USA,3,25.907,-80.278
KORD,ORD,CHICAGO OHARE INTERNATIONAL,CHICAGO,USA,204,41.979,-87.904
KORF,ORF,NORFOLK INTERNATIONAL,NORFOLK,USA,8,36.894,-76.201
KORL,ORL,EXECUTIVE,ORLANDO,USA,35,28.545,-81.333
KOSC,N/A,OSCODA WURTSMITH,OSCODA,USA,194,44.451,-83.394
KPAE,PAE,SNOHOMISH CO,EVERETT,USA,185,47.906,-122.281
KPAM,PAM,TYNDALL AFB,PANAMA CITY,USA,6,30.07,-85.576
KPBF,PBF,GRIDER FLD,PINE BLUFF,USA,63,34.175,-91.934
KPBG,PBG,PLATTSBURGH INTERNATIONAL,PLATTSBURGH,USA,72,44.651,-73.468
KPBI,PBI,PALM BEACH INTERNATIONAL,WEST PALM BEACH,USA,6,26.683,-80.096
KPDX,PDX,PORTLAND INTERNATIONAL,PORTLAND,USA,10,45.589,-122.597
KPHF,PHF,NEWPORT NEWS WILLIAMSBURG INTERNATIONAL,NEWPORT NEWS,USA,14,37.132,-76.493
KPHL,PHL,PHILADELPHIA INTERNATIONAL,PHILADELPHIA,USA,12,39.872,-75.241
KPHN,PHN,ST CLAIR CO INTERNATIONAL,PORT HURON,USA,199,42.911,-82.529
KPHX,PHX,PHOENIX SKY HARBOR INTERNATIONAL,PHOENIX,USA,346,33.434,-112.008
KPIE,PIE,ST PETERSBURG CLEARWATER INTERNATIONAL,ST. PETERSBURG,USA,4,27.911,-82.687
KPIT,PIT,PITTSBURGH INTERNATIONAL,PITTSBURGH (PENNSYLVA),USA,367,40.491,-80.233
KPMB,N/A,PEMBINA MUNI,PEMBINA,USA,243,48.942,-97.241
KPMD,PMD,PALMDALE PROD FLT TEST INSTL AF PLT 42,PALMDALE,USA,776,34.629,-118.084
KPNC,PNC,PONCA CITY MUNI,PONCA CITY,USA,307,36.731,-97.1
KPNE,PNE,NORTHEAST PHILADELPHIA,PHILADELPHIA,USA,37,40.082,-75.011
KPNM,PNM,PRINCETON MUNI,PRINCETON,USA,299,45.56,-93.608
KPNS,PNS,PENSACOLA RGNL,PENSACOLA,USA,37,30.473,-87.187
KPOB,POB,POPE AFB,FAYETTEVILLE,USA,67,35.171,-79.014
KPOE,POE,POLK AAF,FORT POLK,USA,101,31.045,-93.191
KPQI,PQI,NORTHERN MAINE RGNL AT PRESQUE ISLE,PRESQUE ISLE,USA,163,46.689,-68.045
KPRC,PRC,ERNEST A LOVE FLD,PRESCOTT,USA,1538,34.654,-112.419
KPSP,PSP,PALM SPRINGS INTERNATIONAL,PALM SPRINGS,USA,145,33.829,-116.507
KPSX,PSX,PALACIOS MUNI,PALACIOS,USA,5,28.727,-96.251
KPUB,PUB,PUEBLO MEM,PUEBLO MEMORIAL,USA,1441,38.289,-104.496
KPVD,PVD,THEODORE FRANCIS GREEN STATE,PROVIDENCE,USA,17,41.724,-71.428
KPWM,PWM,PORTLAND INTERNATIONAL JETPORT,PORTLAND,USA,23,43.646,-70.309
KRAL,RAL,RIVERSIDE MUNI,RIVERSIDE,USA,250,33.952,-117.445
KRBM,RBM,ROBINSON AAF,ROBINSON,USA,179,34.85,-92.3
KRCA,RCA,ELLSWORTH AFB,RAPID CITY,USA,1000,44.145,-103.103
KRDR,RDR,GRAND FORKS AFB,RED RIVER,USA,278,47.961,-97.401
KRDU,RDU,RALEIGH DURHAM INTERNATIONAL,RALEIGH-DURHAM,USA,133,35.877,-78.787
KRIC,RIC,RICHMOND INTERNATIONAL,RICHMOND,USA,51,37.505,-77.319
KRIU,RIU,RANCHO MURIETA,RANCHO MURIETA,USA,43,38.489,-121.102
KRIV,RIV,MARCH ARB,RIVERSIDE,USA,468,33.881,-117.259
KRME,RME,GRIFFISS AIRPARK,ROME,USA,154,43.234,-75.407
KRND,RND,RANDOLPH AFB,SAN ANTONIO,USA,233,29.529,-98.279
KRNO,RNO,RENO TAHOE INTERNATIONAL,RENO,USA,1345,39.498,-119.768
KROC,ROC,GREATER ROCHESTER INTERNATIONAL,ROCHESTER,USA,171,43.119,-77.672
KROW,ROW,ROSWELL INDUSTRIAL AIR CENTER,ROSWELL,USA,1119,33.301,-104.531
KRSW,RSW,SOUTHWEST FLORIDA INTERNATIONAL,FORT MYERS,USA,10,26.536,-81.755
KSAC,SAC,SACRAMENTO EXECUTIVE,SACRAMENTO,USA,8,38.513,-121.493
KSAF,SAF,SANTA FE MUNI,SANTA FE,USA,1935,35.617,-106.088
KSAN,SAN,SAN DIEGO INTERNATIONAL LINDBERGH FLD,SAN DIEGO,USA,5,32.733,-117.189
KSAT,SAT,SAN ANTONIO INTERNATIONAL,SAN ANTONIO,USA,247,29.534,-98.47
KSAV,SAV,SAVANNAH HILTON HEAD INTERNATIONAL,SAVANNAH,USA,16,32.127,-81.202
KSAW,N/A,SAWYER INTERNATIONAL,GWINN,USA,373,46.354,-87.396
KSBO,SBO,EMANUEL CO,SANTA BARBARA,USA,100,32.608,-82.369
KSBY,SBY,SALISBURY OCEAN CITY WICOMICO RGNL,SALISBURY,USA,16,38.34,-75.51
KSCK,SCK,STOCKTON METROPOLITAN,STOCKTON,USA,10,37.894,-121.239
KSEA,SEA,SEATTLE TACOMA INTERNATIONAL,SEATTLE,USA,131,47.449,-122.309
KSEM,SEM,CRAIG FLD,SELMA,USA,51,32.344,-86.988
KSFF,SFF,FELTS FLD,SPOKANE,USA,596,47.683,-117.322
KSFO,SFO,SAN FRANCISCO INTERNATIONAL,SAN FRANCISCO,USA,4,37.619,-122.375
KSFZ,SFZ,NORTH CENTRAL STATE,SMITHFIELD,USA,135,41.921,-71.491
KSHV,SHV,SHREVEPORT RGNL,SHREVEPORT,USA,79,32.446,-93.826
KSJC,SJC,NORMAN Y MINETA SAN JOSE INTERNATIONAL,SAN JOSE,USA,18,37.362,-121.929
KSJT,SJT,SAN ANGELO RGNL MATHIS FLD,SAN ANGELO,USA,585,31.358,-100.496
KSKA,SKA,FAIRCHILD AFB,SPOKANE,USA,751,47.615,-117.656
KSKF,SKF,LACKLAND AFB KELLY FLD ANNEX,SAN ANTONIO,USA,211,29.384,-98.581
KSKY,SKY,GRIFFING SANDUSKY,SANDUSKY,USA,177,41.433,-82.652
KSLC,SLC,SALT LAKE CITY INTERNATIONAL,SALT LAKE CITY,USA,1289,40.788,-111.978
KSMF,SMF,SACRAMENTO INTERNATIONAL,SACRAMENTO,USA,9,38.695,-121.591
KSNA,SNA,JOHN WAYNE ARPT ORANGE CO,SANTA ANA,USA,18,33.676,-117.868
KSPB,SPB,SCAPPOOSE INDUSTRIAL AIRPARK,SAN LUIS,USA,18,45.773,-122.862
KSPG,SPG,ALBERT WHITTED,ST. PETERSBURG,USA,3,27.765,-82.627
KSPS,SPS,SHEPPARD AFB WICHITA FALLS MUNI,WICHITA FALLS,USA,311,33.989,-98.492
KSSC,SSC,SHAW AFB,SUMTER,USA,74,33.973,-80.473
KSTL,STL,LAMBERT ST LOUIS INTERNATIONAL,ST. LOUIS,USA,185,38.748,-90.36
KSUU,SUU,TRAVIS AFB,FAIRFIELD,USA,19,38.263,-121.927
KSUX,SUX,SIOUX GATEWAY COL BUD DAY FLD,SIOUX CITY,USA,335,42.402,-96.384
KSVN,SVN,HUNTER AAF,HUNTER AAF,USA,13,32.01,-81.146
KSWF,SWF,STEWART INTERNATIONAL,NEWBURGH,USA,150,41.504,-74.105
KSYR,SYR,SYRACUSE HANCOCK INTERNATIONAL,SYRACUSE,USA,129,43.111,-76.106
KSZL,SZL,WHITEMAN AFB,KNOBNOSTER,USA,266,38.73,-93.548
KTBN,TBN,WAYNESVILLE RGNL ARPT AT FORNEY FLD,FORT LEONARDWOOD,USA,354,37.741,-92.141
KTCC,TCC,TUCUMCARI MUNI,TUCUMCARI,USA,1240,35.183,-103.603
KTCM,TCM,MC CHORD AFB,TACOMA,USA,99,47.138,-122.476
KTCS,TCS,TRUTH OR CONSEQUENCES MUNI,TRUTH OR CONSEQUENCES,USA,1480,33.237,-107.272
KTEB,TEB,TETERBORO,TETERBORO,USA,3,40.85,-74.061
KTIK,TIK,TINKER AFB,OKLAHOMA CITY,USA,394,35.415,-97.386
KTLH,TLH,TALLAHASSEE RGNL,TALLAHASSEE,USA,25,30.396,-84.35
KTMB,TMB,KENDALL TAMIAMI EXECUTIVE,KENDALL-TAMIAMI,USA,3,25.648,-80.433
KTNT,TNT,DADE COLLIER TRAINING AND TRANSITION,MIAMI,USA,4,25.862,-80.897
KTNX,N/A,TONOPAH TEST RANGE,TONOPAH,USA,1692,37.794,-116.779
KTPA,TPA,TAMPA INTERNATIONAL,TAMPA,USA,8,27.975,-82.533
KTTN,TTN,TRENTON MERCER,TRENTON,USA,65,40.277,-74.813
KTUL,TUL,TULSA INTERNATIONAL,TULSA,USA,207,36.198,-95.888
KTUS,TUS,TUCSON INTERNATIONAL,TUCSON,USA,806,32.116,-110.941
KTXK,TXK,TEXARKANA RGNL WEBB FLD,TEXARKANA,USA,119,33.454,-93.991
KTYR,TYR,TYLER POUNDS RGNL,TYLER,USA,166,32.354,-95.402
KTYS,TYS,MC GHEE TYSON,KNOXVILLE,USA,300,35.812,-83.993
KUGN,UGN,WAUKEGAN RGNL,CHICAGO,USA,222,42.422,-87.868
KVAD,VAD,MOODY AFB,VALDOSTA,USA,72,30.968,-83.193
KVBG,VBG,VANDENBERG AFB,LOMPOC,USA,112,34.729,-120.577
KVCV,VCV,SOUTHERN CALIFORNIA LOGISTICS,VICTORVILLE,USA,880,34.593,-117.379
KVPS,VPS,EGLIN AFB,VALPARAISO,USA,27,30.483,-86.525
KVRB,VRB,VERO BEACH MUNI,VERO BEACH,USA,8,27.656,-80.418
KWAL,WAL,WALLOPS FLIGHT FACILITY,WALLOPS ISLAND,USA,13,37.94,-75.466
KWRB,WRB,ROBINS AFB,MACON,USA,90,32.64,-83.592
KWRI,WRI,MC GUIRE AFB,WRIGHTSTOWN,USA,41,40.016,-74.594
KWSD,WSD,CONDRON AAF,WHITE SANDS,USA,1200,32.341,-106.403
KWWD,WWD,CAPE MAY CO,WILDWOOD,USA,8,39.008,-74.908
KYIP,YIP,WILLOW RUN,DETROIT,USA,219,42.238,-83.53
KYNG,YNG,YOUNGSTOWN WARREN RGNL,YOUNGSTOWN,USA,365,41.261,-80.679
KYUM,YUM,YUMA MCAS YUMA INTERNATIONAL,YUMA,USA,65,32.656,-114.606
KZUN,ZUN,BLACK ROCK,ZUNI PUEBLO,USA,1968,35.083,-108.792
PAAQ,PAQ,PALMER MUNI,PALMER,USA,76,61.595,-149.089
PABA,BTI,BARTER ISLAND LRRS,BARTER ISLAND,USA,2,70.134,-143.577
PABE,BET,BETHEL,BETHEL,USA,38,60.78,-161.838
PABI,BIG,ALLEN AAF,DELTA JUNCTION,USA,390,63.994,-145.721
PABM,N/A,BIG MOUNTAIN AFS,BIG MOUNTAIN,USA,203,59.362,-155.257
PABR,BRW,WILEY POST WILL ROGERS MEM,BARROW,USA,14,71.285,-156.766
PABT,BTT,BETTLES,BETTLES,USA,196,66.915,-151.528
PACD,CDB,COLD BAY,COLD BAY,USA,30,55.206,-162.724
PACL,N/A,CLEAR,CLEAR MEWS,USA,169,64.301,-149.12
PACV,CDV,MERLE K MUDHOLE SMITH,CORDOVA,USA,13,60.492,-145.477
PACZ,N/A,CAPE ROMANZOF LRRS,CAPE ROMANZOF,USA,140,61.78,-166.039
PADK,ADK,ADAK,ADAK ISLAND,USA,7,51.878,-176.646
PADL,DLG,DILLINGHAM,DILLINGHAM,USA,27,59.045,-158.503
PADQ,ADQ,KODIAK,KODIAK,USA,23,57.75,-152.494
PADU,DUT,UNALASKA,UNALASKA,USA,7,53.9,-166.543
PAED,EDF,ELMENDORF AFB,ANCHORAGE,USA,65,61.251,-149.806
PAEH,EHM,CAPE NEWENHAM LRRS,CAPE NEWENHAM,USA,165,58.647,-162.061
PAEI,EIL,EIELSON AFB,FAIRBANKS,USA,168,64.666,-147.101
PAEN,ENA,KENAI MUNI,KENAI,USA,31,60.573,-151.245
PAFA,FAI,FAIRBANKS INTERNATIONAL,FAIRBANKS,USA,133,64.815,-147.856
PAFB,FBK,WAINWRIGHT AAF,FORT WAINWRIGHT,USA,139,64.837,-147.614
PAFR,N/A,BRYANT AHP,FORT RICHARDSON,USA,116,61.266,-149.653
PAGA,GAL,EDWARD G PITKA SR,GALENA,USA,47,64.736,-156.937
PAGK,GKN,GULKANA,GULKANA,USA,482,62.155,-145.456
PAGY,SGY,SKAGWAY,SKAGWAY,USA,14,59.46,-135.316
PAHO,HOM,HOMER,HOMER,USA,26,59.646,-151.476
PAIL,ILI,ILIAMNA,ILIAMNA,USA,57,59.754,-154.911
PAIM,UTO,INDIAN MOUNTAIN LRRS,INDIAN MOUNTAINS,USA,372,65.993,-153.704
PAJN,JNU,JUNEAU INTERNATIONAL,JUNEAU,USA,6,58.355,-134.576
PAKN,AKN,KING SALMON,KING SALMON,USA,18,58.677,-156.649
PAKT,KTN,KETCHIKAN INTERNATIONAL,KETCHIKAN,USA,30,55.356,-131.714
PALU,LUR,CAPE LISBURNE LRRS,CAPE LISBURNE,USA,4,68.875,-166.11
PAMC,MCG,MC GRATH,MCGRATH,USA,103,62.953,-155.606
PAMD,N/A,MIDDLETON ISLAND,MIDDLETON ISLAND,USA,27,59.45,-146.309
PAMR,MRI,MERRILL FLD,ANCHORAGE,USA,42,61.214,-149.846
PANC,ANC,TED STEVENS ANCHORAGE INTERNATIONAL,ANCHORAGE,USA,47,61.174,-149.996
PANT,ANN,ANNETTE ISLAND,ANNETTE ISLAND,USA,37,55.042,-131.572
PAOM,OME,NOME,NOME,USA,12,64.512,-165.445
PAOR,ORT,NORTHWAY,NORTHWAY,USA,524,62.961,-141.929
PAOT,OTZ,RALPH WIEN MEM,KOTZEBUE,USA,4,66.884,-162.598
PAPB,N/A,ST GEORGE,POINT BARROW,USA,39,56.578,-169.661
PAPM,PML,PLATINUM,PORT MOLLER,USA,5,59.011,-161.819
PASC,SCC,DEADHORSE,DEADHORSE,USA,19,70.195,-148.465
PASI,SIT,SITKA ROCKY GUTIERREZ,SITKA,USA,8,57.047,-135.361
PASN,SNP,ST PAUL ISLAND,ST. PAUL ISLAND,USA,20,57.167,-170.22
PASV,SVW,SPARREVOHN LRRS,SPARREVOHN,USA,484,61.097,-155.574
PASY,SYA,EARECKSON AS,SHEMYA,USA,30,52.712,174.114
PATA,TAL,RALPH M CALHOUN,TANANA,USA,70,65.174,-152.109
PATC,TNC,TIN CITY LRRS,TIN CITY,USA,83,65.563,-167.922
PATK,TKA,TALKEETNA,TALKEETNA,USA,110,62.32,-150.094
PATL,TLJ,TATALINA LRRS,TATALINA,USA,294,62.894,-155.976
PAUN,UNK,UNALAKLEET,UNALAKLEET,USA,7,63.888,-160.799
PAVD,VDZ,VALDEZ PIONEER FIELD,VALDEZ,USA,37,61.134,-146.248
PAWT,AIN,WAINWRIGHT AS,FORT WAINWRIGHT,USA,11,70.613,-159.86
PAYA,YAK,YAKUTAT,YAKUTAT,USA,12,59.503,-139.66
PFYU,FYU,FORT YUKON,FORT YUKON,USA,132,66.571,-145.25
PHBK,BKH,BARKING SANDS PMRF,BARKING SANDS,USA,5,22.022,-159.787
PHDH,HDH,DILLINGHAM,DILLINGHAM,USA,5,21.579,-158.21
PHHI,N/A,WHEELER AAF,WHEELER AFB.,USA,256,21.483,-158.039
PHHN,HNM,HANA,HANA,USA,24,20.796,-156.014
PHJH,JHM,KAPALUA,LAHANIA-KAPALUA,USA,79,20.963,-156.674
PHKO,KOA,KONA INTERNATIONAL AT KEAHOLE,KONA,USA,15,19.739,-156.046
PHLI,LIH,LIHUE,LIHUE,USA,47,21.976,-159.339
PHMK,MKK,MOLOKAI,MOLOKAI,USA,139,21.153,-157.096
PHMU,MUE,WAIMEA KOHALA,KAMUELA,USA,815,20.001,-155.668
PHNG,NGF,KANEOHE BAY MCAF,KANEOHE BAY,USA,6,21.449,-157.768
PHNL,HNL,HONOLULU INTERNATIONAL,HONOLULU,USA,4,21.316,-157.927
PHNY,LNY,LANAI,LANAI,USA,399,20.786,-156.951
PHOG,OGG,KAHULUI,KAHULUI,USA,17,20.899,-156.431
PHSF,BSF,BRADSHAW AAF,BRADSHAW FIELD,USA,1887,19.76,-155.554
PHTO,ITO,HILO INTERNATIONAL,HILO,USA,12,19.72,-155.049
PHUP,UPP,UPOLU,OPOLU,USA,30,20.265,-155.86
POLI,OLI,OLIKTOK LRRS,OLIKTOK POINT,USA,5,70.499,-149.879
PPIZ,PIZ,POINT LAY LRRS,POINT LAY,USA,8,69.733,-163.005
